TEI,TEO,TCI,TCO,kW,TEA,TCA,TRE,TRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,TO_sump,PO_net,label,evap_temp_diff,cond_temp_diff,estimated_cooling_tons,cop,efficiency_kw_per_ton
60.68,50.68,85.49,94.95,82.55,8.0,3.5,42.4,98.5,7.8,47.0,4.6,123.7,25.2,112.0,105.7,1,10.0,9.460000000000008,241.94029166666667,10.307740833333334,0.34119988626670456
60.68,50.63,85.49,94.95,82.39,8.0,3.9,42.3,98.7,7.7,47.2,4.9,124.0,25.3,112.0,103.4,1,10.049999999999997,9.460000000000008,241.47135833333334,10.307740833333334,0.34119988626670456
60.64,50.59,85.49,94.95,82.43,8.0,3.7,42.4,98.5,7.8,47.0,4.6,124.0,25.2,112.2,104.7,1,10.049999999999997,9.460000000000008,241.5885916666667,10.307740833333334,0.34119988626670456
60.6,50.55,85.49,94.95,82.62,7.7,3.7,42.4,98.5,8.0,47.2,4.6,124.0,25.2,112.2,104.7,1,10.050000000000004,9.460000000000008,242.14545,10.307740833333334,0.34119988626670456
60.56,50.51,85.45,94.95,82.38,7.9,3.9,42.4,98.5,8.0,47.0,4.7,124.0,25.5,112.4,104.0,1,10.050000000000004,9.5,241.44205,10.307740833333332,0.34119988626670456
60.52,50.51,85.49,94.95,82.36,7.9,3.9,42.4,98.7,7.9,47.0,4.6,124.0,25.3,112.4,103.5,1,10.010000000000005,9.460000000000008,241.38343333333336,10.307740833333334,0.34119988626670456
60.52,50.47,85.45,94.95,82.59,7.9,3.7,42.3,98.5,7.8,46.8,4.6,124.0,25.5,112.7,104.9,1,10.050000000000004,9.5,242.05752500000003,10.307740833333334,0.34119988626670456
60.48,50.43,85.45,94.95,82.5,8.0,3.6,42.3,98.2,7.8,46.8,4.4,124.0,25.8,112.4,105.4,1,10.049999999999997,9.5,241.79375,10.307740833333334,0.3411998862667046
60.43,50.43,85.41,94.91,82.44,7.9,3.9,42.4,98.7,7.7,46.8,4.4,124.0,25.5,112.7,104.7,1,10.0,9.5,241.61789999999996,10.307740833333332,0.3411998862667046
60.43,50.39,85.41,94.91,82.68,7.7,3.7,42.3,98.7,8.0,46.8,4.4,123.7,25.3,112.7,106.9,1,10.04,9.5,242.32130000000004,10.307740833333334,0.34119988626670456
60.43,50.39,85.41,94.95,82.43,8.0,4.1,42.1,98.7,8.0,46.8,4.5,123.7,25.0,112.9,104.0,1,10.04,9.540000000000006,241.5885916666667,10.307740833333334,0.34119988626670456
60.39,50.35,85.41,94.95,82.53,7.8,3.7,42.3,98.5,8.0,46.8,4.5,123.7,25.0,112.9,105.4,1,10.04,9.540000000000006,241.88167500000003,10.307740833333334,0.34119988626670456
60.35,50.35,85.41,94.91,82.7,7.8,3.9,42.3,98.5,7.7,46.8,4.5,123.7,25.2,112.9,105.0,1,10.0,9.5,242.3799166666667,10.307740833333334,0.34119988626670456
60.35,50.31,85.41,94.91,82.68,7.8,4.1,42.3,98.7,7.8,46.8,4.7,124.0,25.0,112.9,104.3,1,10.04,9.5,242.32130000000004,10.307740833333334,0.34119988626670456
60.35,50.27,85.41,94.87,82.61,7.8,3.9,42.3,98.7,7.7,46.8,4.5,123.7,25.5,113.1,104.2,1,10.079999999999998,9.460000000000008,242.11614166666664,10.307740833333332,0.3411998862667046
60.35,50.31,85.41,94.91,82.55,7.8,3.7,42.3,98.7,8.0,46.8,4.5,124.0,25.3,113.1,104.9,1,10.04,9.5,241.94029166666667,10.307740833333334,0.34119988626670456
60.27,50.27,85.41,94.91,82.45,8.1,4.1,42.0,98.5,7.8,46.8,4.7,123.7,25.5,113.1,103.8,1,10.0,9.5,241.64720833333334,10.307740833333334,0.34119988626670456
60.27,50.22,85.41,94.87,82.29,7.9,3.7,42.1,98.5,7.8,46.8,4.7,124.0,25.2,113.3,104.8,1,10.050000000000004,9.460000000000008,241.178275,10.307740833333334,0.3411998862667046
60.27,50.27,85.37,94.87,82.27,7.8,3.4,42.3,98.5,7.8,46.8,4.5,124.0,25.5,113.1,105.0,1,10.0,9.5,241.11965833333335,10.307740833333334,0.34119988626670456
60.27,50.27,85.37,94.83,82.28,7.9,3.9,42.0,98.5,7.8,46.8,4.7,124.0,25.5,113.3,103.7,1,10.0,9.459999999999994,241.14896666666667,10.307740833333332,0.34119988626670456
60.23,50.27,85.37,94.83,82.38,7.8,3.7,42.3,98.5,7.8,46.8,4.5,123.7,25.5,113.1,105.8,1,9.959999999999994,9.459999999999994,241.44205,10.307740833333332,0.34119988626670456
60.27,50.22,85.41,94.87,82.46,8.0,3.9,42.1,98.7,7.8,46.8,4.7,124.0,25.2,113.3,106.0,1,10.050000000000004,9.460000000000008,241.67651666666663,10.307740833333332,0.3411998862667046
60.23,50.22,85.37,94.87,82.38,8.0,3.9,42.3,98.5,7.8,46.8,4.7,124.0,25.2,113.6,104.5,1,10.009999999999998,9.5,241.44205,10.307740833333332,0.34119988626670456
60.27,50.22,85.37,94.83,82.38,8.0,4.1,42.1,98.7,8.0,46.8,4.5,124.0,25.3,113.6,105.0,1,10.050000000000004,9.459999999999994,241.44205,10.307740833333332,0.34119988626670456
60.27,50.22,85.37,94.83,82.49,7.9,3.9,42.1,98.5,7.5,46.8,4.5,124.0,25.8,113.6,104.8,1,10.050000000000004,9.459999999999994,241.76444166666667,10.307740833333334,0.34119988626670456
60.23,50.22,85.33,94.83,82.54,8.0,3.7,42.1,98.5,8.0,46.8,4.7,124.0,25.5,113.6,103.2,1,10.009999999999998,9.5,241.91098333333335,10.307740833333334,0.34119988626670456
60.23,50.22,85.33,94.83,82.52,8.0,3.9,42.1,98.5,8.0,46.8,4.7,123.7,25.5,113.6,102.9,1,10.009999999999998,9.5,241.85236666666665,10.307740833333334,0.34119988626670456
60.23,50.18,85.33,94.83,82.48,8.0,3.7,42.0,98.5,7.8,46.8,4.7,124.0,25.2,113.8,105.5,1,10.049999999999997,9.5,241.73513333333332,10.307740833333332,0.3411998862667046
60.23,50.22,85.33,94.83,82.35,8.1,3.4,42.0,98.5,7.8,46.8,4.8,123.7,25.2,113.8,103.9,1,10.009999999999998,9.5,241.35412499999998,10.307740833333334,0.34119988626670456
60.23,50.18,85.33,94.83,82.36,8.1,3.9,42.0,98.5,8.2,46.8,4.8,124.0,25.2,113.6,104.4,1,10.049999999999997,9.5,241.38343333333336,10.307740833333334,0.34119988626670456
60.23,50.22,85.33,94.83,82.27,8.1,3.9,42.0,98.5,7.8,46.8,4.7,124.0,25.2,113.8,105.0,1,10.009999999999998,9.5,241.11965833333335,10.307740833333334,0.34119988626670456
60.23,50.22,85.33,94.78,82.42,7.9,3.4,42.0,98.7,8.2,46.8,4.7,124.0,25.3,114.0,105.5,1,10.009999999999998,9.450000000000003,241.55928333333335,10.307740833333334,0.34119988626670456
60.19,50.22,85.33,94.83,82.38,7.9,3.9,42.1,98.7,8.0,46.8,4.7,123.7,25.3,114.0,105.8,1,9.969999999999999,9.5,241.44205,10.307740833333332,0.34119988626670456
60.23,50.22,85.37,94.83,82.16,8.0,4.1,42.1,98.7,8.0,46.8,4.7,124.0,25.2,113.8,105.5,1,10.009999999999998,9.459999999999994,240.79726666666664,10.307740833333332,0.3411998862667046
60.23,50.22,85.37,94.83,82.03,8.3,3.9,42.0,98.7,8.0,46.8,5.0,124.0,25.3,114.0,104.0,1,10.009999999999998,9.459999999999994,240.41625833333333,10.307740833333332,0.3411998862667046
60.23,50.22,85.33,94.83,81.88,8.0,3.6,42.1,98.2,8.0,46.8,4.8,124.0,25.8,113.8,106.4,1,10.009999999999998,9.5,239.97663333333333,10.307740833333332,0.34119988626670456
60.19,50.22,85.33,94.83,82.19,8.1,3.9,42.0,98.5,7.8,46.8,4.8,124.0,25.2,114.0,105.5,1,9.969999999999999,9.5,240.88519166666669,10.307740833333334,0.34119988626670456
60.23,50.27,85.37,94.78,82.08,8.3,3.9,41.8,98.5,8.0,46.8,5.0,124.0,25.7,114.2,105.2,1,9.959999999999994,9.409999999999997,240.5628,10.307740833333334,0.34119988626670456
60.23,50.22,85.33,94.78,81.96,8.0,4.1,42.1,98.7,8.2,46.8,4.8,124.0,25.0,114.0,104.8,1,10.009999999999998,9.450000000000003,240.2111,10.307740833333334,0.34119988626670456
60.23,50.27,85.33,94.74,82.2,8.1,3.9,42.0,98.5,8.0,46.8,4.7,124.2,25.5,114.2,104.3,1,9.959999999999994,9.409999999999997,240.9145,10.307740833333334,0.3411998862667046
60.23,50.27,85.33,94.78,82.25,8.3,3.9,42.0,98.5,8.2,46.8,4.8,124.0,25.5,114.0,106.2,1,9.959999999999994,9.450000000000003,241.06104166666668,10.307740833333334,0.34119988626670456
60.27,50.31,85.33,94.74,82.14,8.0,4.1,42.1,98.7,8.2,46.8,4.7,123.7,25.5,114.2,105.5,1,9.96,9.409999999999997,240.73864999999998,10.307740833333332,0.3411998862667046
60.23,50.31,85.33,94.74,82.54,8.3,4.1,42.0,98.5,8.0,46.8,4.7,124.2,25.5,114.5,103.9,1,9.919999999999995,9.409999999999997,241.91098333333335,10.307740833333334,0.34119988626670456
60.27,50.31,85.33,94.74,82.35,8.1,4.1,42.0,98.5,8.0,46.8,4.8,124.2,25.7,114.5,102.9,1,9.96,9.409999999999997,241.35412499999998,10.307740833333334,0.34119988626670456
60.27,50.31,85.33,94.74,82.33,8.1,4.1,42.0,98.7,8.5,46.8,4.8,124.0,25.0,114.5,105.5,1,9.96,9.409999999999997,241.29550833333332,10.307740833333332,0.3411998862667046
60.27,50.31,85.33,94.78,82.7,8.1,4.2,42.0,99.0,8.5,46.8,4.7,124.0,25.2,114.2,105.5,1,9.96,9.450000000000003,242.3799166666667,10.307740833333334,0.34119988626670456
60.27,50.31,85.37,94.78,82.19,8.3,4.1,42.0,98.7,8.0,46.8,4.8,124.0,25.3,114.5,104.2,1,9.96,9.409999999999997,240.88519166666669,10.307740833333334,0.34119988626670456
60.31,50.31,85.37,94.78,82.47,8.0,3.9,42.1,98.7,8.0,46.8,4.7,124.2,25.3,114.5,103.5,1,10.0,9.409999999999997,241.705825,10.307740833333334,0.34119988626670456
60.31,50.35,85.41,94.83,82.55,8.0,4.1,42.1,98.7,8.3,46.8,4.7,124.2,25.5,114.7,104.8,1,9.96,9.420000000000002,241.94029166666667,10.307740833333334,0.34119988626670456
60.31,50.35,85.37,94.83,82.47,8.0,4.2,42.1,99.0,8.5,46.8,4.8,124.0,25.0,114.7,105.5,1,9.96,9.459999999999994,241.705825,10.307740833333334,0.34119988626670456
60.31,50.35,85.37,94.83,82.5,8.2,4.1,42.1,98.7,8.3,46.8,4.8,124.2,25.2,114.7,105.5,1,9.96,9.459999999999994,241.79375,10.307740833333334,0.3411998862667046
60.27,50.35,85.37,94.83,82.69,8.1,4.4,42.0,99.0,8.3,46.8,5.0,124.2,25.2,114.7,105.0,1,9.920000000000002,9.459999999999994,242.35060833333333,10.307740833333334,0.34119988626670456
60.31,50.39,85.37,94.78,82.5,8.1,4.4,42.0,99.0,8.3,46.8,4.8,124.0,25.2,114.7,104.5,1,9.920000000000002,9.409999999999997,241.79375,10.307740833333334,0.3411998862667046
60.31,50.35,85.37,94.83,82.65,8.2,4.2,42.1,99.0,8.5,46.8,4.7,124.0,25.2,114.9,106.7,1,9.96,9.459999999999994,242.233375,10.307740833333332,0.3411998862667046
60.31,50.35,85.41,94.87,82.54,8.3,4.4,42.0,99.2,8.5,46.8,4.7,124.0,24.8,114.9,106.0,1,9.96,9.460000000000008,241.91098333333335,10.307740833333334,0.34119988626670456
60.35,50.35,85.37,94.87,82.51,8.5,4.2,41.8,99.0,8.3,46.8,4.8,124.0,25.2,114.7,104.8,1,10.0,9.5,241.82305833333336,10.307740833333334,0.34119988626670456
60.35,50.35,85.37,94.87,82.5,8.2,4.2,42.1,99.0,8.7,46.8,4.8,124.2,25.0,115.1,105.5,1,10.0,9.5,241.79375,10.307740833333334,0.3411998862667046
60.31,50.35,85.37,94.87,82.74,8.1,4.6,42.0,99.2,8.7,46.8,4.8,124.2,25.0,114.9,106.8,1,9.96,9.5,242.49715,10.307740833333334,0.34119988626670456
60.31,50.39,85.37,94.83,82.49,8.2,4.7,42.1,99.5,8.8,46.8,4.8,124.2,24.7,114.9,102.4,1,9.920000000000002,9.459999999999994,241.76444166666667,10.307740833333334,0.34119988626670456
60.35,50.39,85.33,94.83,82.77,8.1,4.9,42.0,99.7,9.2,46.6,4.8,124.2,24.3,114.9,105.0,1,9.96,9.5,242.585075,10.307740833333334,0.34119988626670456
60.31,50.35,85.37,94.83,82.76,8.3,4.9,42.0,99.5,9.2,46.8,4.7,124.2,24.7,114.9,105.0,1,9.96,9.459999999999994,242.55576666666667,10.307740833333332,0.3411998862667046
60.31,50.35,85.37,94.83,82.67,8.3,4.9,42.0,99.7,9.2,46.8,4.8,124.2,24.5,115.1,102.8,1,9.96,9.459999999999994,242.29199166666666,10.307740833333332,0.3411998862667046
60.35,50.35,85.37,94.87,82.68,8.1,5.4,42.0,100.0,9.2,46.8,4.8,124.2,24.0,114.9,103.8,1,10.0,9.5,242.32130000000004,10.307740833333334,0.34119988626670456
60.35,50.35,85.37,94.87,82.94,8.1,5.2,42.0,100.0,9.5,46.8,4.8,124.2,24.2,115.1,105.8,1,10.0,9.5,243.08331666666666,10.307740833333334,0.34119988626670456
60.35,50.39,85.37,94.87,82.83,8.0,5.6,42.1,100.2,9.7,46.8,4.8,124.5,23.6,114.9,104.3,1,9.96,9.5,242.76092500000001,10.307740833333334,0.34119988626670456
60.35,50.39,85.37,94.87,82.76,8.2,5.8,42.1,100.4,9.9,46.6,4.6,124.5,24.1,115.3,105.5,1,9.96,9.5,242.55576666666667,10.307740833333332,0.3411998862667046
60.35,50.35,85.33,94.87,82.78,8.1,5.8,42.0,100.4,9.9,46.8,4.8,124.5,23.8,115.1,105.0,1,10.0,9.540000000000006,242.6143833333333,10.307740833333332,0.3411998862667046
60.35,50.35,85.37,94.83,82.85,8.5,5.9,41.8,100.7,9.9,46.8,5.0,124.2,24.1,115.1,104.8,1,10.0,9.459999999999994,242.81954166666665,10.307740833333334,0.34119988626670456
60.35,50.39,85.37,94.87,82.7,8.1,5.6,42.0,100.4,9.9,46.8,4.8,124.2,24.1,115.3,106.0,1,9.96,9.5,242.3799166666667,10.307740833333334,0.34119988626670456
60.35,50.39,85.37,94.87,82.88,8.2,5.9,42.0,100.7,10.2,46.8,4.7,124.2,23.5,115.1,106.3,1,9.96,9.5,242.90746666666664,10.307740833333334,0.3411998862667046
60.39,50.39,85.41,94.87,82.79,8.3,5.9,42.0,100.7,9.9,46.8,4.8,124.5,23.5,115.3,104.0,1,10.0,9.460000000000008,242.64369166666668,10.307740833333334,0.34119988626670456
60.39,50.39,85.41,94.87,82.75,8.0,5.8,42.1,100.4,10.0,46.8,4.7,124.5,23.5,115.6,103.9,1,10.0,9.460000000000008,242.52645833333332,10.307740833333334,0.3411998862667046
60.39,50.39,85.41,94.87,83.13,8.3,5.6,42.1,100.4,10.0,46.8,4.8,124.2,23.8,115.6,103.9,1,10.0,9.460000000000008,243.640175,10.307740833333334,0.34119988626670456
60.39,50.39,85.41,94.91,82.91,8.3,5.4,42.0,100.4,9.9,46.8,4.7,124.5,24.1,115.6,104.3,1,10.0,9.5,242.99539166666668,10.307740833333334,0.34119988626670456
60.39,50.39,85.41,94.91,83.03,8.3,5.9,42.0,100.7,9.9,46.8,4.8,124.2,23.5,115.3,106.5,1,10.0,9.5,243.34709166666667,10.307740833333332,0.34119988626670456
60.43,50.39,85.41,94.91,83.14,8.3,5.7,42.0,100.7,9.9,46.8,4.8,124.2,23.8,115.3,105.9,1,10.04,9.5,243.66948333333332,10.307740833333332,0.3411998862667046
60.43,50.43,85.45,94.91,82.94,8.3,5.9,42.0,100.7,10.0,46.8,4.8,124.2,23.8,115.3,104.0,1,10.0,9.459999999999994,243.08331666666666,10.307740833333334,0.34119988626670456
60.43,50.43,85.41,94.95,82.88,8.3,5.4,42.0,100.2,9.7,46.8,4.8,124.2,24.1,115.3,104.0,1,10.0,9.540000000000006,242.90746666666664,10.307740833333334,0.3411998862667046
60.43,50.43,85.41,94.91,83.13,8.2,5.4,42.0,100.4,9.9,46.8,4.7,124.5,24.1,115.6,105.0,1,10.0,9.5,243.640175,10.307740833333334,0.34119988626670456
60.43,50.43,85.41,94.95,82.98,8.1,5.6,42.0,100.4,9.9,46.8,4.8,124.5,24.3,115.6,105.3,1,10.0,9.540000000000006,243.20055000000002,10.307740833333334,0.34119988626670456
60.43,50.43,85.41,94.91,82.96,8.2,6.1,42.1,100.7,9.7,46.8,4.8,124.5,23.8,115.7,106.8,1,10.0,9.5,243.14193333333333,10.307740833333334,0.34119988626670456
60.48,50.43,85.41,94.91,83.28,7.8,5.7,42.0,100.4,9.7,46.8,4.5,124.2,23.8,115.6,105.2,1,10.049999999999997,9.5,244.0798,10.307740833333332,0.34119988626670456
60.43,50.47,85.45,94.95,83.01,8.3,5.7,42.0,100.7,9.9,46.8,4.7,124.5,24.0,115.6,103.0,1,9.96,9.5,243.288475,10.307740833333332,0.3411998862667046
60.48,50.43,85.45,94.99,82.98,8.3,5.7,42.0,100.7,9.9,46.8,4.7,124.5,24.1,115.6,103.3,1,10.049999999999997,9.539999999999992,243.20055000000002,10.307740833333334,0.34119988626670456
60.48,50.47,85.49,94.99,83.17,8.4,5.6,42.0,100.9,10.2,46.8,4.8,124.5,23.6,115.6,105.4,1,10.009999999999998,9.5,243.75740833333336,10.307740833333334,0.34119988626670456
60.43,50.47,85.49,94.99,83.09,8.3,5.6,42.0,100.4,9.7,46.8,4.8,124.5,24.1,115.7,103.9,1,9.96,9.5,243.52294166666667,10.307740833333332,0.3411998862667046
60.48,50.47,85.49,94.99,83.08,8.5,5.9,41.8,100.7,10.2,46.8,4.7,124.5,23.8,115.7,105.5,1,10.009999999999998,9.5,243.49363333333335,10.307740833333334,0.34119988626670456
60.48,50.51,85.53,94.99,83.39,8.2,5.7,42.1,100.7,10.0,46.8,4.7,124.5,24.0,116.0,104.0,1,9.969999999999999,9.459999999999994,244.40219166666665,10.307740833333332,0.3411998862667046
60.48,50.51,85.49,94.99,83.2,8.3,5.6,42.0,100.4,10.0,46.8,4.8,124.7,24.1,115.7,102.8,1,9.969999999999999,9.5,243.84533333333334,10.307740833333334,0.34119988626670456
60.48,50.47,85.45,94.99,83.15,8.0,5.9,42.1,100.7,10.0,46.8,4.7,124.7,23.8,115.7,105.5,1,10.009999999999998,9.539999999999992,243.6987916666667,10.307740833333332,0.34119988626670456
60.48,50.47,85.49,94.99,83.64,8.2,5.9,42.1,100.7,10.2,46.8,4.8,124.7,23.8,116.0,105.9,1,10.009999999999998,9.5,245.13490000000002,10.307740833333334,0.34119988626670456
60.48,50.43,85.49,94.99,83.44,8.2,5.9,42.0,100.9,10.0,46.8,4.7,124.7,23.8,115.7,105.0,1,10.049999999999997,9.5,244.54873333333336,10.307740833333334,0.34119988626670456
60.48,50.47,85.53,95.07,83.38,8.2,6.1,42.1,100.9,10.0,46.8,4.8,124.5,23.6,116.0,105.4,1,10.009999999999998,9.539999999999992,244.37288333333333,10.307740833333334,0.34119988626670456
60.48,50.47,85.53,95.11,83.75,8.2,5.9,42.1,100.9,9.7,46.8,4.8,124.5,24.3,115.7,105.0,1,10.009999999999998,9.579999999999998,245.45729166666666,10.307740833333334,0.3411998862667046
60.52,50.47,85.53,95.07,83.54,8.3,5.4,42.0,100.4,10.0,46.8,4.8,124.2,24.1,116.0,104.8,1,10.050000000000004,9.539999999999992,244.8418166666667,10.307740833333334,0.34119988626670456
60.48,50.47,85.53,95.07,83.59,8.3,5.9,42.0,100.7,9.7,46.8,4.7,124.5,23.8,116.0,106.5,1,10.009999999999998,9.539999999999992,244.98835833333337,10.307740833333334,0.34119988626670456
