Feature,Importance
OLI,0.41647738
VL23,0.103204265
VL12,0.058710404
ATI,0.04557944
THDVL3,0.040254842
MPD,0.02911907
Sum_PF,0.023564748
MKVAD,0.021659104
THDVL1,0.020919716
PFL1,0.019579755
THDIL2,0.01906209
VL31,0.017948657
VAL1,0.017138436
THDIL1,0.014902086
IL1,0.0122289425
WL1,0.011845105
OTI,0.011705635
KVAR,0.009928099
PFL3,0.009398223
KVA,0.007162856
RVAL2,0.0070010633
WL3,0.006501391
Avg_PF,0.0064069126
THDIL3,0.006326474
THDVL2,0.006322837
RVAL1,0.0058237957
VAL3,0.0056675225
VAL2,0.005079622
IL2,0.005012759
RVAL3,0.0049783476
VL1,0.00403199
INUT,0.0039885407
VL2,0.0039592846
VL3,0.0039538797
IL3,0.0037350035
WL2,0.0035322953
PFL2,0.0027925163
KW,0.002424162
FRQ,0.0020726412
WTI,0.0
