Feature,Importance
MPD_roll60m_mean,0.24509299
KW_roll30m_mean,0.1354659
THDVL1_roll60m_mean,0.081693575
THDVL1_roll30m_mean,0.056821954
OTI,0.051046163
THDVL1,0.034212086
VL31,0.033412546
VL23,0.03337144
ATI_roll30m_mean,0.029728165
KW_roll60m_max,0.027380217
THDIL3,0.024490086
ATI,0.021802107
OTI_roll30m_mean,0.01802262
Avg_PF_roll60m_mean,0.012067225
OTI_roll60m_max,0.011597279
IL1_roll60m_max,0.010721939
OTI_roll60m_mean,0.010032163
PFL2,0.009367711
MPD_roll60m_max,0.009160934
IL1_roll30m_mean,0.0052207387
OTI_roll30m_std,0.0051347855
Avg_PF,0.00478329
THDVL2,0.0047126077
KVAR,0.0045844065
ATI_roll60m_mean,0.004573411
ATI_roll30m_std,0.004508852
Avg_PF_roll30m_mean,0.0044645313
OLI_roll30m_mean,0.0042627333
VAL2,0.0038663177
THDIL1_roll30m_mean,0.0037710124
VL3,0.0037393623
VL1_roll60m_mean,0.0036675932
THDVL3,0.003593688
THDIL2,0.0033191275
MPD,0.003288591
OTI_diff1,0.003267412
VL12,0.003202597
MPD_diff1,0.003167863
OLI_roll60m_max,0.0030913863
THDIL1_roll30m_std,0.0030607847
KVA_diff1,0.0028913121
IL1,0.0028495612
MKVAD,0.002669359
Avg_PF_roll30m_std,0.0025662836
VL1_roll60m_max,0.0025395923
THDVL1_roll60m_max,0.0024276972
ATI_diff1,0.0023280308
THDVL1_roll30m_std,0.0022602393
OLI,0.0021333455
OLI_roll60m_mean,0.0021179384
VL1_roll30m_std,0.0021106
THDIL1_diff1,0.0019281937
VL2,0.0019044827
MPD_roll30m_std,0.0018964602
THDIL1_roll60m_mean,0.0017535273
KW_diff1,0.0017490265
VL1,0.0016954262
PFL1,0.0016465266
OLI_diff1,0.0016329174
VL1_roll30m_mean,0.0014179408
IL1_roll30m_std,0.0013801805
WL2,0.0013657452
IL3,0.0013096815
KVA_roll30m_mean,0.001218857
FRQ,0.0011640281
INUT,0.0011435425
IL1_roll60m_mean,0.0010823963
WL3,0.0010762993
VL1_diff1,0.0010152807
RVAL2,0.00095589366
KVA_roll30m_std,0.0009335308
Sum_PF,0.0009047686
THDIL1,0.00052313035
KVA_roll60m_max,0.000519728
RVAL3,0.0004865817
VAL3,0.00045482063
RVAL1,0.00043949517
KW_roll60m_mean,0.00043386812
THDVL1_diff1,0.0004267289
KW_roll30m_std,0.00040274623
KW,0.0003525047
OLI_roll30m_std,0.0002474965
VAL1,0.0002183391
WL1,0.00019741581
THDIL1_roll60m_max,0.00018644852
KVA,0.00015908234
IL1_diff1,9.548812e-05
IL2,1.9232239e-05
PFL3,0.0
WTI,0.0
WTI_roll60m_mean,0.0
WTI_roll60m_max,0.0
ATI_roll60m_max,0.0
WTI_roll30m_std,0.0
WTI_diff1,0.0
WTI_roll30m_mean,0.0
Avg_PF_roll60m_max,0.0
KVA_roll60m_mean,0.0
Avg_PF_diff1,0.0
MPD_roll30m_mean,0.0
