feature,mean_abs_shap
sensor_23,0.50433433
sensor_29,0.40330985
sensor_28,0.37505606
sensor_22,0.36925477
sensor_25,0.20776054
sensor_24,0.176445
sensor_36,0.17148013
sensor_32,0.16532077
sensor_13_roll30_mean,0.16371311
sensor_30,0.15610898
sensor_04_roll30_mean,0.12817939
sensor_26,0.12632413
sensor_11_roll30_mean,0.12263621
sensor_00,0.094520405
sensor_27,0.091015376
sensor_00_roll30_mean,0.08890585
sensor_02_roll30_mean,0.08453708
sensor_03_roll30_mean,0.080811255
sensor_10_roll30_mean,0.061359044
sensor_02_roll15_mean,0.059004024
sensor_34,0.05395517
sensor_01_roll30_mean,0.046009794
sensor_48,0.03725981
sensor_07,0.031076811
sensor_01_roll15_mean,0.029521238
sensor_35,0.027368693
sensor_38,0.024173062
sensor_33,0.024165617
sensor_14,0.023957627
sensor_00_roll15_mean,0.02314304
sensor_06_roll30_mean,0.02290041
sensor_42,0.022679258
sensor_39,0.020140931
sensor_01,0.019693634
sensor_03_roll15_mean,0.019669877
sensor_03,0.018944962
sensor_18,0.018004421
sensor_12_roll30_mean,0.01645705
sensor_11_roll15_mean,0.016209092
sensor_02,0.015895696
sensor_13,0.015875349
sensor_51,0.013877987
sensor_11,0.013584048
sensor_47,0.013434474
sensor_04_roll15_mean,0.012052801
sensor_06_roll15_mean,0.010432695
sensor_09,0.010354208
sensor_05,0.010148561
sensor_12_roll15_mean,0.00886397
sensor_08,0.00836947
sensor_17,0.006924781
sensor_21,0.0061512985
sensor_49,0.005970084
sensor_13_roll15_mean,0.0058625005
sensor_04,0.004920448
sensor_45,0.00485935
sensor_10_roll15_mean,0.004484921
sensor_20,0.00388471
sensor_40,0.0034580783
sensor_19,0.0034301088
sensor_06,0.0033647825
sensor_16,0.002909668
sensor_37,0.00270734
sensor_12,0.0024720011
sensor_46,0.0024594308
sensor_44,0.002294551
sensor_31,0.0022695565
sensor_41,0.0013633552
sensor_10,0.001051207
sensor_11_diff1,0.0008959096
sensor_12_diff1,0.00088223827
sensor_43,0.00071760727
sensor_04_diff1,6.2522384e-05
sensor_00_diff1,5.2611194e-05
sensor_10_diff1,1.9705925e-05
sensor_03_diff1,1.0963668e-05
sensor_02_diff1,9.874998e-06
sensor_06_diff1,4.8886295e-06
sensor_13_diff1,0.0
sensor_01_diff1,0.0
